id;date_debut;date_fin;commentaire;annee;date_creation;date_mise_validation;date_validation;statut;commentaire_mise_en_validation_ac;reference_mise_validation_ac;fichier_mise_validation_ac;fichier_mise_validation_ac_content_type;date_mise_en_validation_ccmp;fichier_mise_validation_ccmp;fichier_mise_validation_ccmp_content_type;reference_mise_validation_ccmp;date_validation_1;commentaire_validation;reference_validation;fichier_validation;fichier_validation_content_type;date_validation_2;date_rejet;date_publication;commentaire_publication
1;2020-12-01;2020-12-01;1080p Games;71369;2020-12-01;2020-12-01;2020-12-02;connecting;Investor Vista;e-services program;../fake-data/blob/hipster.png;image/png;2020-12-01;../fake-data/blob/hipster.png;image/png;COM;2020-12-02;Louisiana;front-end;../fake-data/blob/hipster.png;image/png;2020-12-01;2020-12-01;2020-12-02;hacking magenta bypass
2;2020-12-01;2020-12-02;Intelligent Granite Chair Congolese Franc red;59180;2020-12-02;2020-12-02;2020-12-02;Glen;XSS Keyboard Colorado;Generic SDR Fresh;../fake-data/blob/hipster.png;image/png;2020-12-02;../fake-data/blob/hipster.png;image/png;revolutionize Berkshire;2020-12-01;24 hour deposit Movies;Accountability Multi-tiered bus;../fake-data/blob/hipster.png;image/png;2020-12-01;2020-12-02;2020-12-02;Beauty
3;2020-12-02;2020-12-01;Circle ADP Home Loan Account;5537;2020-12-02;2020-12-01;2020-12-01;Drive;Beauty deposit Dynamic;deposit;../fake-data/blob/hipster.png;image/png;2020-12-02;../fake-data/blob/hipster.png;image/png;array;2020-12-01;Personal Loan Account;drive;../fake-data/blob/hipster.png;image/png;2020-12-02;2020-12-01;2020-12-01;Berkshire
4;2020-12-01;2020-12-02;Music;89038;2020-12-01;2020-12-01;2020-12-02;seamless ADP;Books;Investment Account Persistent capability;../fake-data/blob/hipster.png;image/png;2020-12-01;../fake-data/blob/hipster.png;image/png;implementation Macedonia;2020-12-01;encoding Shoes e-commerce;copy Switzerland;../fake-data/blob/hipster.png;image/png;2020-12-02;2020-12-02;2020-12-01;Concrete Car
5;2020-12-02;2020-12-02;California invoice;85876;2020-12-01;2020-12-01;2020-12-02;reinvent Solutions vortals;bypass program Movies;radical Supervisor;../fake-data/blob/hipster.png;image/png;2020-12-01;../fake-data/blob/hipster.png;image/png;multi-byte Tactics withdrawal;2020-12-01;Keyboard payment;open-source array Sleek Cotton Chips;../fake-data/blob/hipster.png;image/png;2020-12-02;2020-12-01;2020-12-02;Bridge budgetary management
6;2020-12-01;2020-12-02;backing up;63882;2020-12-01;2020-12-01;2020-12-02;New Hampshire Customer;Colorado Idaho;Representative;../fake-data/blob/hipster.png;image/png;2020-12-01;../fake-data/blob/hipster.png;image/png;static withdrawal;2020-12-02;sensor Cambridgeshire Analyst;green;../fake-data/blob/hipster.png;image/png;2020-12-01;2020-12-02;2020-12-02;Hungary drive Nauru
7;2020-12-02;2020-12-01;Data;36867;2020-12-01;2020-12-01;2020-12-02;matrix;Concrete SMTP integrate;Gorgeous;../fake-data/blob/hipster.png;image/png;2020-12-02;../fake-data/blob/hipster.png;image/png;white;2020-12-01;Accountability metrics Dynamic;interactive;../fake-data/blob/hipster.png;image/png;2020-12-01;2020-12-02;2020-12-01;incubate Enterprise-wide Investor
8;2020-12-02;2020-12-01;Rhode Island Estate;82063;2020-12-02;2020-12-02;2020-12-01;architect ubiquitous Convertible Marks;Eritrea Fiji Dollar;Global;../fake-data/blob/hipster.png;image/png;2020-12-02;../fake-data/blob/hipster.png;image/png;Belarussian Ruble generating;2020-12-01;Valleys Manager Gold;Oval copy Guarani;../fake-data/blob/hipster.png;image/png;2020-12-02;2020-12-01;2020-12-02;Identity
9;2020-12-01;2020-12-02;HDD withdrawal bypassing;35768;2020-12-02;2020-12-02;2020-12-01;Springs Grass-roots;Incredible Administrator hack;Singapore Dollar Croatia;../fake-data/blob/hipster.png;image/png;2020-12-01;../fake-data/blob/hipster.png;image/png;pink model Marketing;2020-12-01;platforms multi-state;Bermudian Dollar (customarily known as Bermuda Dollar);../fake-data/blob/hipster.png;image/png;2020-12-02;2020-12-01;2020-12-01;interactive brand
10;2020-12-01;2020-12-02;Fresh Iraq;22789;2020-12-01;2020-12-01;2020-12-02;PNG synthesizing;Digitized Ergonomic;Chips Incredible Optimization;../fake-data/blob/hipster.png;image/png;2020-12-01;../fake-data/blob/hipster.png;image/png;SDR Rustic Frozen Gloves;2020-12-01;Home Loan Account Frozen neural;RSS;../fake-data/blob/hipster.png;image/png;2020-12-01;2020-12-01;2020-12-02;neural programming navigating
